Problem1,InitialLB,Initial UB,Best Solution,Is Optimal,ERR,Run time
,1583,1588,1583,1,0,0.001
,1583,1588,1583,1,0,0
,Problem117,,,,,
,1706,1732,1711,1,0,0.004
,1706,1732,1711,1,0,0.003
,1706,1732,1711,1,0,0.003
,Problem118,,,,,
,1535,1538,1538,0,0.0019544,120
,1535,1538,1538,0,0.0019544,120
,1535,1538,1538,0,0.0019544,0.224
,Problem119,,,,,
,1715,1715,1715,1,0,0
,1715,1715,1715,1,0,0
,1715,1715,1715,1,0,0
,Problem120,,,,,
,1595,1595,1595,1,0,0
,1595,1595,1595,1,0,0
,1595,1595,1595,1,0,0
,Problem121,,,,,
,3778,3778,3778,1,0,0
,3778,3778,3778,1,0,0
,3778,3778,3778,1,0,0
,Problem122,,,,,
,3999,3999,3999,1,0,0
,3999,3999,3999,1,0,0
,3999,3999,3999,1,0,0
,Problem123,,,,,
,3981,3981,3981,1,0,0
,3981,3981,3981,1,0,0
,3981,3981,3981,1,0,0
,Problem124,,,,,
,3975,3975,3975,1,0,0
,3975,3975,3975,1,0,0
,3975,3975,3975,1,0,0
,Problem125,,,,,
,3895,3895,3895,1,0,0
,3895,3895,3895,1,0,0
,3895,3895,3895,1,0,0
,Problem126,,,,,
,3933,3933,3933,1,0,0
,3933,3933,3933,1,0,0
,3933,3933,3933,1,0,0
,Problem127,,,,,
,3781,3781,3781,1,0,0
,3781,3781,3781,1,0,0
,3781,3781,3781,1,0,0
,Problem128,,,,,
,4023,4023,4023,1,0,0
,4023,4023,4023,1,0,0
,4023,4023,4023,1,0,0
,Problem129,,,,,
,3938,3938,3938,1,0,0
,3938,3938,3938,1,0,0
,3938,3938,3938,1,0,0
,Problem130,,,,,
,3776,3776,3776,1,0,0
,3776,3776,3776,1,0,0
,3776,3776,3776,1,0,0
,Problem131,,,,,
,3729,3729,3729,1,0,0
,3729,3729,3729,1,0,0
,3729,3729,3729,1,0,0
,Problem132,,,,,
,3847,3847,3847,1,0,0
,3847,3847,3847,1,0,0
,3847,3847,3847,1,0,0
,Problem133,,,,,
,4090,4090,4090,1,0,0
,4090,4090,4090,1,0,0
,4090,4090,4090,1,0,0
,Problem134,,,,,
,3994,3994,3994,1,0,0
,3994,3994,3994,1,0,0
,3994,3994,3994,1,0,0
,Problem135,,,,,
,3857,3857,3857,1,0,0
,3857,3857,3857,1,0,0
,3857,3857,3857,1,0,0
,Problem136,,,,,
,3899,3899,3899,1,0,0
,3899,3899,3899,1,0,0
,3899,3899,3899,1,0,0
,Problem137,,,,,
,3981,3981,3981,1,0,0
,3981,3981,3981,1,0,0
,3981,3981,3981,1,0,0
,Problem138,,,,,
,3809,3839,3809,1,0,0.005
,3809,3839,3809,1,0,0.004
,3809,3839,3809,1,0,0.002
,Problem139,,,,,
,3807,3807,3807,1,0,0
,3807,3807,3807,1,0,0
,3807,3807,3807,1,0,0
,Problem140,,,,,
,3730,3730,3730,1,0,0
,3730,3730,3730,1,0,0
,3730,3730,3730,1,0,0
,Problem141,,,,,
,3784,3784,3784,1,0,0
,3784,3784,3784,1,0,0
,3784,3784,3784,1,0,0
,Problem142,,,,,
,4028,4028,4028,1,0,0
,4028,4028,4028,1,0,0
,4028,4028,4028,1,0,0
,Problem143,,,,,
,3853,3853,3853,1,0,0
,3853,3853,3853,1,0,0
,3853,3853,3853,1,0,0
,Problem144,,,,,
,3911,3911,3911,1,0,0
,3911,3911,3911,1,0,0
,3911,3911,3911,1,0,0
,Problem145,,,,,
,4043,4043,4043,1,0,0
,4043,4043,4043,1,0,0
,4043,4043,4043,1,0,0
,Problem146,,,,,
,4017,4017,4017,1,0,0
,4017,4017,4017,1,0,0
,4017,4017,4017,1,0,0
,Problem147,,,,,
,3839,3843,3839,1,0,0.003
,3839,3843,3839,1,0,0.002
,3839,3843,3839,1,0,0.002
,Problem148,,,,,
,3853,3853,3853,1,0,0
,3853,3853,3853,1,0,0
,3853,3853,3853,1,0,0
,Problem149,,,,,
,3887,3887,3887,1,0,0
,3887,3887,3887,1,0,0
,3887,3887,3887,1,0,0
,Problem150,,,,,
,3970,3970,3970,1,0,0
,3970,3970,3970,1,0,0
,3970,3970,3970,1,0,0
,Problem151,,,,,
,3859,3865,3860,1,0,0.006
,3859,3865,3860,1,0,0.005
,3859,3865,3860,1,0,0.003
,Problem152,,,,,
,3898,3898,3898,1,0,0
,3898,3898,3898,1,0,0
,3898,3898,3898,1,0,0
,Problem153,,,,,
,3932,3955,3933,1,0,0.025
,3932,3955,3933,1,0,0.025
,3932,3955,3933,1,0,0.021
,Problem154,,,,,
,3876,3876,3876,1,0,0
,3876,3876,3876,1,0,0
,3876,3876,3876,1,0,0
,Problem155,,,,,
,3851,3851,3851,1,0,0
,3851,3851,3851,1,0,0
,3851,3851,3851,1,0,0
,Problem156,,,,,
,3993,3993,3993,1,0,0
,3993,3993,3993,1,0,0
,3993,3993,3993,1,0,0
,Problem157,,,,,
,3881,3892,3881,1,0,0.006
,3881,3892,3881,1,0,0.005
,3881,3892,3881,1,0,0.003
,Problem158,,,,,
,3847,3847,3847,1,0,0
,3847,3847,3847,1,0,0
,3847,3847,3847,1,0,0
,Problem159,,,,,
,3901,3901,3901,1,0,0
,3901,3901,3901,1,0,0
,3901,3901,3901,1,0,0
,Problem160,,,,,
,4114,4114,4114,1,0,0
,4114,4114,4114,1,0,0
,4114,4114,4114,1,0,0
,Problem161,,,,,
,3908,3908,3908,1,0,0
,3908,3908,3908,1,0,0
,3908,3908,3908,1,0,0
,Problem162,,,,,
,3928,3928,3928,1,0,0
,3928,3928,3928,1,0,0
,3928,3928,3928,1,0,0
,Problem163,,,,,
,3856,3856,3856,1,0,0
,3856,3856,3856,1,0,0
,3856,3856,3856,1,0,0
,Problem164,,,,,
,3921,3921,3921,1,0,0
,3921,3921,3921,1,0,0
,3921,3921,3921,1,0,0
,Problem165,,,,,
